state,year,seatbelt_avg,exercise_avg,smoke_avg,drink_avg,checkup_avg,healthcare_avg,weight_avg,height_avg
ID,2014,4.610977081,0.798278223,0.416799363,0.446872494,3.303288431,0.880007817,177.7149542,5.581497368
ID,2015,4.636454382,0.769458712,0.395987129,0.438405797,3.352406214,0.904913133,179.688164,5.592575334
ID,2016,4.641501476,0.770666667,0.395010395,0.452161141,3.339975093,0.901827891,178.5968468,5.581729457
ID,2017,4.652972229,0.748413418,0.384632224,0.449856099,3.318482576,0.898206181,180.9115808,5.602706491
IL,2006,4.721836735,0.769527287,0.470564352,0.575782202,3.470138458,0.9109937,172.3368485,5.546525384
IL,2007,3.409090909,0.804472843,0.246163683,0.563782696,3.347600519,0.892081737,246.9655172,6.751915709
IL,2008,4.76567255,0.705527638,0.464587525,0.563782696,3.493189673,0.911835749,173.136455,5.54164992
IL,2010,4.821499801,0.721163293,0.460176991,0.573456912,3.498214994,0.914027149,174.2371316,5.545055665
IL,2011,4.804051422,0.731636784,0.460705619,0.57265625,3.496318671,0.905269058,176.4688317,5.558697275
IL,2012,4.833928907,0.754779412,0.440429868,0.556052142,3.53115727,0.907751795,176.3620658,5.552747657
IL,2013,4.827800427,0.735678585,0.441508039,0.554026409,3.509659614,0.90449233,177.3737466,5.56493467
IL,2014,4.838702749,0.765868887,0.427813163,0.586368477,3.539928736,0.937057107,176.9750312,5.566687474
IL,2015,4.828842105,0.740408674,0.428113736,0.572807723,3.547429255,0.945673647,179.712172,5.570115736
IL,2016,4.822699954,0.754339119,0.42252884,0.589346688,3.576931691,0.938224799,178.877669,5.573398577
IL,2017,4.831391784,0.758585859,0.398595944,0.595463511,3.567014291,0.934653085,180.4974083,5.576054265
IN,2006,4.681668857,0.725793459,0.483954201,0.456976179,3.370497708,0.882514102,175.9575358,5.550989223
IN,2007,2.217391304,0.778617083,0.279137529,0.463030826,3.252215003,0.864298195,247.0993031,6.347319009
IN,2008,4.736074848,0.687769165,0.501079447,0.463030826,3.398168338,0.886182367,178.030303,5.550612508
IN,2010,4.785714286,0.695378585,0.484726105,0.422028805,3.438546901,0.88766019,178.2736354,5.540799863
IN,2011,4.787935406,0.689139559,0.493084112,0.473995431,3.426466885,0.861729932,179.4409722,5.548983135
IN,2012,4.781242205,0.717343712,0.482762866,0.460044532,3.426811237,0.871301595,178.5653757,5.552446279
IN,2013,4.782569932,0.682669016,0.480793451,0.460512386,3.470018738,0.885328663,180.603116,5.563687304
IN,2014,4.795364174,0.727560521,0.465721946,0.454712244,3.49321139,0.915344409,179.3223018,5.554483902
IN,2015,4.812729026,0.707303157,0.457060206,0.46506112,3.508838384,0.931862658,180.1434652,5.566486375
IN,2016,4.774758454,0.713438927,0.463032334,0.478429423,3.533019331,0.942451638,180.5120768,5.556334271
IN,2017,4.789764175,0.695993391,0.465145754,0.484936362,3.547241298,0.93431167,182.6962584,5.569228187
IA,2006,4.706937799,0.759733907,0.465831212,0.543127215,3.529575782,0.927087417,176.3960125,5.589376466
IA,2007,2.120689655,0.833754741,0.361675127,0.546411996,3.282749676,0.903858318,246.9058154,6.827380952
IA,2008,4.793656515,0.735576923,0.459141891,0.546411996,3.545636364,0.93521979,176.570743,5.578741557
